Functions,Taylor Series
-9*x**3 + 5*x**2 + 2*x - 5,-9*x**3 + 5*x**2 + 2*x - 5
-2*x**3 + x**2 - x + 8,-2*x**3 + x**2 - x + 8
9*x**3 - 6*x**2 - 6*x + 5,9*x**3 - 6*x**2 - 6*x + 5
3*x**3 - 4*x**2 - 7*x + 7,3*x**3 - 4*x**2 - 7*x + 7
-9*x**3 - x**2 - 8*x + 9,-9*x**3 - x**2 - 8*x + 9
10*x**3 + 7*x**2 + 6*x - 6,10*x**3 + 7*x**2 + 6*x - 6
-9*x**3 - 6*x**2 - 2*x - 3,-9*x**3 - 6*x**2 - 2*x - 3
-2*x**3 + 2*x**2 + 3*x - 9,-2*x**3 + 2*x**2 + 3*x - 9
5*x**3 - 2*x**2 + 9*x + 10,5*x**3 - 2*x**2 + 9*x + 10
7 - 9*x,7 - 9*x
-8*x**3 + 7*x**2 - 8*x + 10,-8*x**3 + 7*x**2 - 8*x + 10
-6*x**3 + 7*x**2 - 10*x - 2,-6*x**3 + 7*x**2 - 10*x - 2
-7*x**3 + 3*x**2 + 10*x + 4,-7*x**3 + 3*x**2 + 10*x + 4
x**3 + 9*x**2 + x + 9,x**3 + 9*x**2 + x + 9
-6*x**3 + 8*x**2 - 2*x + 4,-6*x**3 + 8*x**2 - 2*x + 4
-6*x - 6,-6*x - 6
-x**3 + 2*x + 4,-x**3 + 2*x + 4
-6*x**3 - 8*x**2 - 2*x + 4,-6*x**3 - 8*x**2 - 2*x + 4
-7*x**3 - 3*x**2 - 7*x + 1,-7*x**3 - 3*x**2 - 7*x + 1
-8*x**3 - 8*x**2 - 8*x + 6,-8*x**3 - 8*x**2 - 8*x + 6
-9*x**3 + x**2 - 4*x - 10,-9*x**3 + x**2 - 4*x - 10
-5*x**3 - 8*x**2 - 2*x + 3,-5*x**3 - 8*x**2 - 2*x + 3
-9*x**3 + 3*x**2 + 4*x + 4,-9*x**3 + 3*x**2 + 4*x + 4
8*x**3 - 3*x**2 - 9*x + 8,8*x**3 - 3*x**2 - 9*x + 8
6*x**3 + 9*x**2 - 2*x - 6,6*x**3 + 9*x**2 - 2*x - 6
-x**3 + 10*x**2 - 9*x - 2,-x**3 + 10*x**2 - 9*x - 2
-9*x**3 - 8*x**2 - 3*x + 4,-9*x**3 - 8*x**2 - 3*x + 4
x**3 - 10*x**2 + 10*x - 5,x**3 - 10*x**2 + 10*x - 5
3*x**3 - x**2 + 7*x - 7,3*x**3 - x**2 + 7*x - 7
-8*x**3 - x**2 + 10*x + 2,-8*x**3 - x**2 + 10*x + 2
3*x**3 - 5*x**2 + 10*x + 2,3*x**3 - 5*x**2 + 10*x + 2
x**3 - 3*x**2 + 10*x + 4,x**3 - 3*x**2 + 10*x + 4
6*x**3 - 8*x**2 - 6*x - 4,6*x**3 - 8*x**2 - 6*x - 4
9*x**3 - 4*x**2 + 10*x - 7,9*x**3 - 4*x**2 + 10*x - 7
9*x**3 + 2*x**2 + 7*x + 4,9*x**3 + 2*x**2 + 7*x + 4
5*x**3 - 8*x**2 + 6*x - 9,5*x**3 - 8*x**2 + 6*x - 9
7*x**3 + x**2 - 2*x - 10,7*x**3 + x**2 - 2*x - 10
4*x**3 - 10*x**2 - 6*x - 2,4*x**3 - 10*x**2 - 6*x - 2
-9*x**3 + 5*x**2 - 8*x + 6,-9*x**3 + 5*x**2 - 8*x + 6
2*x**3 + 6*x**2 + 6*x,2*x**3 + 6*x**2 + 6*x
6*x**2 + 6*x - 9,6*x**2 + 6*x - 9
-5*x**3 + 3*x**2 - 2*x + 4,-5*x**3 + 3*x**2 - 2*x + 4
8*x**3 - 6*x**2 + 2*x - 10,8*x**3 - 6*x**2 + 2*x - 10
6*x**3 - 3*x**2 - 2*x + 4,6*x**3 - 3*x**2 - 2*x + 4
10*x**3 + 6*x**2 + x + 3,10*x**3 + 6*x**2 + x + 3
5*x**3 - 8*x**2 + x - 9,5*x**3 - 8*x**2 + x - 9
7*x**3 + 10*x**2 - 6*x - 3,7*x**3 + 10*x**2 - 6*x - 3
-3*x**2 + 4*x - 10,-3*x**2 + 4*x - 10
